Using device: cuda
Scrambled cube:    DRR
   UUD
   LDB
BFFUFLULFDUL
ULDRFRBRFLBB
FDDRLFUFBRUL
   BBR
   BDR
   DLU

Scrambled cube: D U' D D' R D' F' D' R' L' F B' U R D B' U B' 
Solving...
Generation 1: Best Fitness = -10.652382850646973, Best Solution = U R D' R' R' B' R' B R' U' L' L' U L U D' L' R' F R U' L D' R 
Generation 146: Best Fitness = -7.05757999420166, Best Solution = B U' B D' R' F' D , Temperature = 0.05593019998111218
Generation 147: Best Fitness = -7.05757999420166, Best Solution = B U' B D' R' F' D , Temperature = 0.053133689982056566
Generation 148: Best Fitness = -7.05757999420166, Best Solution = B U' B D' R' F' D , Temperature = 0.05047700548295374
Generation 149: Best Fitness = -7.05757999420166, Best Solution = B U' B D' R' F' D , Temperature = 0.047953155208806046
Generation 150: Best Fitness = -7.05757999420166, Best Solution = B U' B D' R' F' D , Temperature = 0.04555549744836574
Generation 151: Best Fitness = -7.05757999420166, Best Solution = B U' B D' R' F' D , Temperature = 0.043277722575947454
Generation 152: Best Fitness = -7.05757999420166, Best Solution = B U' B D' R' F' D , Temperature = 0.04111383644715008
Generation 153: Best Fitness = -7.05757999420166, Best Solution = B U' B D' R' F' D , Temperature = 0.039058144624792575
Generation 154: Best Fitness = -7.05757999420166, Best Solution = B U' B D' R' F' D , Temperature = 0.037105237393552946
Generation 155: Best Fitness = -7.05757999420166, Best Solution = B U' B D' R' F' D , Temperature = 0.0352499755238753
Generation 156: Best Fitness = -7.05757999420166, Best Solution = B U' B D' R' F' D , Temperature = 0.03348747674768154
Generation 157: Best Fitness = -7.05757999420166, Best Solution = B U' B D' R' F' D , Temperature = 0.03181310291029746
Generation 158: Best Fitness = -7.05757999420166, Best Solution = B U' B D' R' F' D , Temperature = 0.030222447764782584
Generation 159: Best Fitness = -7.05757999420166, Best Solution = B U' B D' R' F' D , Temperature = 0.028711325376543452
Generation 160: Best Fitness = -7.05757999420166, Best Solution = B U' B D' R' F' D , Temperature = 0.027275759107716277
Generation 161: Best Fitness = -7.05757999420166, Best Solution = B U' B D' R' F' D , Temperature = 0.025911971152330463
Generation 162: Best Fitness = -7.05757999420166, Best Solution = B U' B D' R' F' D , Temperature = 0.02461637259471394
Generation 163: Best Fitness = -7.05757999420166, Best Solution = B U' B D' R' F' D , Temperature = 0.02338555396497824
Generation 164: Best Fitness = -7.05757999420166, Best Solution = B U' B D' R' F' D , Temperature = 0.022216276266729326
Generation 165: Best Fitness = -7.05757999420166, Best Solution = B U' B D' R' F' D , Temperature = 0.02110546245339286
Generation 166: Best Fitness = -7.05757999420166, Best Solution = B U' B D' R' F' D , Temperature = 0.020050189330723216
Generation 167: Best Fitness = -7.05757999420166, Best Solution = B U' B D' R' F' D , Temperature = 0.019047679864187053
Generation 168: Best Fitness = -7.05757999420166, Best Solution = B U' B D' R' F' D , Temperature = 0.0180952958709777
Generation 169: Best Fitness = -7.05757999420166, Best Solution = B U' B D' R' F' D , Temperature = 0.017190531077428815
Generation 170: Best Fitness = -7.05757999420166, Best Solution = B U' B D' R' F' D , Temperature = 0.016331004523557374
Generation 171: Best Fitness = -7.05757999420166, Best Solution = B U' B D' R' F' D , Temperature = 0.015514454297379505
Generation 172: Best Fitness = -7.05757999420166, Best Solution = B U' B D' R' F' D , Temperature = 0.014738731582510529
Generation 173: Best Fitness = -7.05757999420166, Best Solution = B U' B D' R' F' D , Temperature = 0.014001795003385002
Generation 174: Best Fitness = -7.05757999420166, Best Solution = B U' B D' R' F' D , Temperature = 0.013301705253215751
Generation 175: Best Fitness = -7.05757999420166, Best Solution = B U' B D' R' F' D , Temperature = 0.012636619990554963
Generation 176: Best Fitness = -7.05757999420166, Best Solution = B U' B D' R' F' D , Temperature = 0.012004788991027214
Generation 177: Best Fitness = -7.05757999420166, Best Solution = B U' B D' R' F' D , Temperature = 0.011404549541475852
Generation 178: Best Fitness = -7.05757999420166, Best Solution = B U' B D' R' F' D , Temperature = 0.010834322064402059
Generation 179: Best Fitness = -7.05757999420166, Best Solution = B U' B D' R' F' D , Temperature = 0.010292605961181955
Generation 180: Best Fitness = -7.05757999420166, Best Solution = B U' B D' R' F' D , Temperature = 0.009777975663122856
Generation 181: Best Fitness = -7.05757999420166, Best Solution = B U' B D' R' F' D , Temperature = 0.009289076879966713
Generation 182: Best Fitness = -7.05757999420166, Best Solution = B U' B D' R' F' D , Temperature = 0.008824623035968376
Generation 183: Best Fitness = -7.05757999420166, Best Solution = B U' B D' R' F' D , Temperature = 0.008383391884169956
Generation 184: Best Fitness = -7.05757999420166, Best Solution = B U' B D' R' F' D , Temperature = 0.007964222289961458
Generation 185: Best Fitness = -7.05757999420166, Best Solution = B U' B D' R' F' D , Temperature = 0.007566011175463384
Generation 186: Best Fitness = -7.05757999420166, Best Solution = B U' B D' R' F' D , Temperature = 0.0071877106166902145
Generation 187: Best Fitness = -7.05757999420166, Best Solution = B U' B D' R' F' D , Temperature = 0.006828325085855703
Generation 188: Best Fitness = -7.05757999420166, Best Solution = B U' B D' R' F' D , Temperature = 0.006486908831562918
Generation 189: Best Fitness = -7.05757999420166, Best Solution = B U' B D' R' F' D , Temperature = 0.006162563389984772
Generation 190: Best Fitness = -7.05757999420166, Best Solution = B U' B D' R' F' D , Temperature = 0.005854435220485533
Generation 191: Best Fitness = -7.05757999420166, Best Solution = B U' B D' R' F' D , Temperature = 0.005561713459461257
Generation 192: Best Fitness = -7.05757999420166, Best Solution = B U' B D' R' F' D , Temperature = 0.005283627786488194
Generation 193: Best Fitness = -7.05757999420166, Best Solution = B U' B D' R' F' D , Temperature = 0.005019446397163784
Generation 194: Best Fitness = -7.05757999420166, Best Solution = B U' B D' R' F' D , Temperature = 0.004768474077305594
Generation 195: Best Fitness = -5.001835823059082, Best Solution = B U' B D' R' U' B F' R L D , Temperature = 0.004530050373440314
Generation 196: Best Fitness = -4.048035621643066, Best Solution = B U' B D' R' U' B F' R L D F , Temperature = 0.004303547854768298
Generation 197: Best Fitness = -4.048035621643066, Best Solution = B U' B D' R' U' B F' L R D F , Temperature = 0.004088370462029883
Generation 198: Best Fitness = -3.0066235065460205, Best Solution = B U' B D' R' U' B F' R L D F D , Temperature = 0.0038839519389283887
Generation 199: Best Fitness = -3.0065999031066895, Best Solution = B U' B D' R' U' B F' R L D F D R' R' , Temperature = 0.003689754341981969
Generation 200: Best Fitness = -3.0065999031066895, Best Solution = B U' B D' R' U' B F' R L D F D R' R' , Temperature = 0.0035052666248828706
Generation 201: Best Fitness = -3.0065999031066895, Best Solution = B U' B D' R' U' B F' L R D F D R' R' , Temperature = 0.003330003293638727
Generation 202: Best Fitness = -3.0065999031066895, Best Solution = B U' B D' R' U' B F' R L D F D R' R' , Temperature = 0.0031635031289567904
Generation 203: Best Fitness = -1.9841392040252686, Best Solution = B U' B D' R' U' B F' R L D F D R' , Temperature = 0.003005327972508951
Generation 204: Best Fitness = -1.0003747940063477, Best Solution = B U' B D' R' U' B F' R L D F D R' U , Temperature = 0.002855061573883503
Generation 205: Best Fitness = -1.0003747940063477, Best Solution = B U' B D' R' U' B F' R L D F D R' U , Temperature = 0.002712308495189328
Solution found!
Best solution found: B U' B D' R' U' B F' R L D F D R' U D' Generation 1: Best Fitness = -11.515059471130371, Best Solution = L D' U R' F' D' U F' R B U F' L' U B R U L R' R' D' L' R' D' F' B' R U , Temperature = 99.3
Generation 2: Best Fitness = -11.441717147827148, Best Solution = L' F' L' D F' L U R L' R' D F' R D U L U D' L' F R' R' B B , Temperature = 98.6049
Generation 3: Best Fitness = -11.284595489501953, Best Solution = L' U' D U F D D U R' U D L' U' L L B' U , Temperature = 97.9146657
Generation 4: Best Fitness = -11.06855297088623, Best Solution = B L' D' U L' D R' B U D' F' B R' F R L F' D' U' R' B' U , Temperature = 97.2292630401
Generation 5: Best Fitness = -10.54515552520752, Best Solution = L R' L' B' U R D' F U D L' U' F' B' R' B L' F' U' F' D U L' F' , Temperature = 96.5486581988193
Generation 6: Best Fitness = -11.589097023010254, Best Solution = F' L R' R' L L B U L' D' U L' R' F L' B B F R' D F L' L' R' , Temperature = 95.87281759142756
Generation 7: Best Fitness = -11.620270729064941, Best Solution = B L F B' D' D' U' D' F' U L F B' R F' B' L' D U L B R' L F' , Temperature = 95.20170786828757
Generation 8: Best Fitness = -11.09304428100586, Best Solution = L' R' U' F' B' U' B R F U B' D' F' L D' U' L' R L' R U' L L F' D B , Temperature = 94.53529591320955
Generation 9: Best Fitness = -10.354609489440918, Best Solution = L' R' F F U' R B R U' B F L' R' R' B' U' , Temperature = 93.87354884181708
Generation 10: Best Fitness = -11.285240173339844, Best Solution = F' U D U L' D' L R F L' U L F D F' D' L F' R' U R' , Temperature = 93.21643399992436
Generation 11: Best Fitness = -10.908005714416504, Best Solution = U' B F' B' D R L' D' L' D L R F' D B F' U' R' B D' R' U , Temperature = 92.5639189619249
Generation 12: Best Fitness = -11.416751861572266, Best Solution = B' B' R U' R R L L F R' D B R' F B U' F' U' F' D' , Temperature = 91.91597152919142
Generation 13: Best Fitness = -11.655793190002441, Best Solution = L' U F' D B' R U' B' R' U R' B B R' U' F , Temperature = 91.27255972848708
Generation 14: Best Fitness = -11.166193962097168, Best Solution = R' B F B' D' R' R' U' D F U' R R B' L' R' F , Temperature = 90.63365181038768
Generation 15: Best Fitness = -10.524425506591797, Best Solution = F' U F R F D U B' L L B L' U F B L' R D U' F D B R B' R' D' R U' B' , Temperature = 89.99921624771495
Generation 16: Best Fitness = -11.225306510925293, Best Solution = F F B R R B R D R' L' R D' L L U' F U D U' L U , Temperature = 89.36922173398095
Generation 17: Best Fitness = -11.17982292175293, Best Solution = B' L' D U' B R' F B' R' F' L , Temperature = 88.74363718184308
Generation 18: Best Fitness = -11.24219036102295, Best Solution = R' R' D U L' D F L' B' B' D F' D L' R' U R' F R' B' D R' U' L B' R B' L L U D' U F' , Temperature = 88.12243172157018
Generation 19: Best Fitness = -10.613153457641602, Best Solution = L F' D U' D' R' R' U L , Temperature = 87.50557469951919
Generation 20: Best Fitness = -11.156027793884277, Best Solution = R F D' D' R' D' F U' D' L' B' L' D' F R' U' U' , Temperature = 86.89303567662255
Generation 21: Best Fitness = -11.161925315856934, Best Solution = F' D' F' U U R B' L' R B F' , Temperature = 86.28478442688619
Generation 22: Best Fitness = -10.947450637817383, Best Solution = F' D L F' R' B' , Temperature = 85.68079093589799
Generation 23: Best Fitness = -11.008387565612793, Best Solution = U F' L D B' U D B D F B' R F D' B' L U L' L' B' D' B U' , Temperature = 85.0810253993467
